"spec","env","r","p","rd","pd"
"AMF","TN",0.391793564322345,0.003,"0.2 - 0.4","< 0.01"
"AMF","NH4_N",0.258354220065227,0.02,"0.2 - 0.4","0.01 - 0.05"
"AMF","NO3_N",0.525674190941283,0.001,">= 0.4","< 0.01"
"AMF","MBN",0.286344505586961,0.019,"0.2 - 0.4","0.01 - 0.05"
"AMF","TC",0.223349729649037,0.05,"0.2 - 0.4","0.01 - 0.05"
"AMF","OM",0.291431622334538,0.022,"0.2 - 0.4","0.01 - 0.05"
"AMF","MBC",0.241377994434731,0.038,"0.2 - 0.4","0.01 - 0.05"
"AMF","TP",0.289772652606932,0.022,"0.2 - 0.4","0.01 - 0.05"
"AMF","AP",0.428584658535059,0.001,">= 0.4","< 0.01"
"AMF","TK",0.243344064940224,0.031,"0.2 - 0.4","0.01 - 0.05"
"AMF","AK",0.218070918889447,0.015,"0.2 - 0.4","0.01 - 0.05"
"AMF","pH",0.12121561742926,0.07,"< 0.2",">= 0.05"
"AMF","APP",0.382461021239968,0.003,"0.2 - 0.4","< 0.01"
"AMF","LAP",0.12228187136287,0.088,"< 0.2",">= 0.05"
"AMF","NAG",0.180069285393468,0.048,"< 0.2","0.01 - 0.05"
"AMF","Urease",0.25947425116469,0.019,"0.2 - 0.4","0.01 - 0.05"
"AMF","BG",0.101090263317276,0.118,"< 0.2",">= 0.05"
"AMF","CBH",0.192226133260176,0.076,"< 0.2",">= 0.05"
"AMF","BX",0.147124557735343,0.087,"< 0.2",">= 0.05"
"AMF","AKP",0.367069493669559,0.004,"0.2 - 0.4","< 0.01"
"AMF","EMF",0.343914443211853,0.002,"0.2 - 0.4","< 0.01"
"Rhizobia","TN",0.527393469848164,0.001,">= 0.4","< 0.01"
"Rhizobia","NH4_N",0.403065146837163,0.001,">= 0.4","< 0.01"
"Rhizobia","NO3_N",0.736366507468624,0.001,">= 0.4","< 0.01"
"Rhizobia","MBN",0.437499386729891,0.001,">= 0.4","< 0.01"
"Rhizobia","TC",0.496264743985338,0.001,">= 0.4","< 0.01"
"Rhizobia","OM",0.51689450983605,0.001,">= 0.4","< 0.01"
"Rhizobia","MBC",0.445483456149082,0.001,">= 0.4","< 0.01"
"Rhizobia","TP",0.509934461520416,0.001,">= 0.4","< 0.01"
"Rhizobia","AP",0.652176977625845,0.001,">= 0.4","< 0.01"
"Rhizobia","TK",0.00340623180535162,0.454,"< 0.2",">= 0.05"
"Rhizobia","AK",0.420941197718186,0.001,">= 0.4","< 0.01"
"Rhizobia","pH",0.394025559887216,0.001,"0.2 - 0.4","< 0.01"
"Rhizobia","APP",0.182109730872675,0.03,"< 0.2","0.01 - 0.05"
"Rhizobia","LAP",0.166972486063981,0.03,"< 0.2","0.01 - 0.05"
"Rhizobia","NAG",0.441134288951193,0.001,">= 0.4","< 0.01"
"Rhizobia","Urease",0.547080501500295,0.001,">= 0.4","< 0.01"
"Rhizobia","BG",0.329509495497305,0.003,"0.2 - 0.4","< 0.01"
"Rhizobia","CBH",0.0283595829904951,0.298,"< 0.2",">= 0.05"
"Rhizobia","BX",0.157589158042505,0.033,"< 0.2","0.01 - 0.05"
"Rhizobia","AKP",-0.00663289405242524,0.526,"< 0.2",">= 0.05"
"Rhizobia","EMF",0.446774366268996,0.001,">= 0.4","< 0.01"
