"niche","spec","n_significant","mean_r","min_p","max_r"
"MFS","AMF",17,0.545,0.001,0.744204465149407
"MFS","Rhizobia",19,0.436,0.001,0.722025869521089
"NE","AMF",15,0.261,0.001,0.41464486498375
"NE","Rhizobia",19,0.373,0.001,0.730322841591714
"RE","AMF",9,0.26,0.006,0.357095271152344
"RE","Rhizobia",19,0.306,0.001,0.636253348676232
"RS","AMF",15,0.314,0.001,0.525674190941283
"RS","Rhizobia",18,0.434,0.001,0.736366507468624
"RZS","AMF",9,0.278,0.003,0.447951075880093
"RZS","Rhizobia",19,0.306,0.001,0.541197192199257
