"","Bulksoil","Means","SD"
"num.edges",247,247,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",203,203,0
"connectance",0.0120470175096327,0.0120470175096327,0
"average.degree",2.43349753694581,2.43349753694581,0
"average.path.length",3.32756324900133,5.57674368013589,0.215000348762534
"diameter",9,13,1.47709789175199
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0121282746699287,0.00732101246052613
"no.clusters",41,20.89,3.58699953395113
"centralization.degree",0.0424084280349217,0.0261212993220504,0.00457604773064754
"centralization.betweenness",0.0272625533574489,0.102076332976639,0.0224731022538755
"centralization.closeness",0.736068263170457,NA,NA
