"","Nodule","Means","SD"
"num.edges",265,265,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",101,101,0
"connectance",0.0524752475247525,0.0524752475247525,0
"average.degree",5.24752475247525,5.24752475247525,0
"average.path.length",1.56414473684211,2.9313708589584,0.0278062381784824
"diameter",2,5.85,0.538891492235719
"edge.connectivity",0,0.66,0.589812502307969
"clustering.coefficient",0,0.0514280959450638,0.00917335508461287
"no.clusters",13,1.53,0.731057073315377
"centralization.degree",0.0875247524752475,0.0620247524752475,0.010480862791225
"centralization.betweenness",0.0039489898989899,0.0583576017527635,0.0122339481435453
"centralization.closeness",0.646953784364145,NA,NA
