"","Bulksoil","Rhizosphere","Root","Nodule"
"num.edges",247,272,391,265
"num.pos.edges",0,0,0,0
"num.neg.edges",0,0,0,0
"num.vertices",203,223,258,101
"connectance",0.0120470175096327,0.0109885670423787,0.011793804482249,0.0524752475247525
"average.degree",2.43349753694581,2.43946188340807,3.03100775193798,5.24752475247525
"average.path.length",3.32756324900133,3.26337033299697,1.73724212812161,1.56414473684211
"diameter",9,9,7,2
"edge.connectivity",0,0,0,0
"clustering.coefficient",0,0,0,0
"no.clusters",41,44,51,13
"centralization.degree",0.0424084280349217,0.0881105320567204,0.0426809036889573,0.0875247524752475
"centralization.betweenness",0.0272625533574489,0.0224533343772631,0.00269674313767052,0.0039489898989899
"centralization.closeness",0.736068263170457,0.759117576702889,0.615653397053832,0.646953784364145
