"","Genes","Nitrogen","Niche"
"1","nifH","**","RZS"
"2","Anammox_Bacteria"," ","RZS"
"3","hzsB","***","RZS"
"4","amoA_archaea"," ","RZS"
"5","amoA_becteria","***","RZS"
"6","nxrA","*","RZS"
"7","comammoxA"," ","RZS"
"8","napA"," ","RZS"
"9","nirS"," ","RZS"
"10","nirK"," ","RZS"
"11","qnorB","**","RZS"
"12","nosZ"," ","RZS"
"13","rRNA"," ","RZS"
"14","nifH"," ","RS"
"15","Anammox_Bacteria"," ","RS"
"16","hzsB"," ","RS"
"17","amoA_archaea","*","RS"
"18","amoA_becteria","***","RS"
"19","nxrA","***","RS"
"20","comammoxA"," ","RS"
"21","napA"," ","RS"
"22","nirS","***","RS"
"23","nirK"," ","RS"
"24","qnorB","***","RS"
"25","nosZ","**","RS"
"26","rRNA"," ","RS"
"27","nifH"," ","RE"
"28","Anammox_Bacteria","**","RE"
"29","hzsB","**","RE"
"30","amoA_archaea","**","RE"
"31","amoA_becteria","*","RE"
"32","nxrA"," ","RE"
"33","comammoxA"," ","RE"
"34","napA"," ","RE"
"35","nirS"," ","RE"
"36","nirK"," ","RE"
"37","qnorB","*","RE"
"38","nosZ"," ","RE"
"39","rRNA"," ","RE"
"40","nifH","**","NE"
"41","Anammox_Bacteria"," ","NE"
"42","hzsB"," ","NE"
"43","amoA_archaea"," ","NE"
"44","amoA_becteria"," ","NE"
"45","nxrA"," ","NE"
"46","comammoxA"," ","NE"
"47","napA"," ","NE"
"48","nirS"," ","NE"
"49","nirK"," ","NE"
"50","qnorB",NA,"NE"
"51","nosZ"," ","NE"
"52","rRNA"," ","NE"
