sample,group,Nitrogen,TN,NH4_N,NO3_N,MBN,TC,OM,MBC,TP,AP,TK,AK,pH,APP,LAP,NAG,Urease,BG,CBH,BX,AKP,EMF,deltaEMF
N0.1,N0,0,-0.054296634,1.844068459,-3.311222625,8.884841662,0.13089895,-1.05806452,57.5680649,-0.268267283,-16.15,-1.21019077,-34,-0.34,6.850812425,2.708739804,0.004978246,0.019982394,0.011516047,0.007837194,0.011989896,-0.005448622,0.515339115,0.329844997
N0.2,N0,0,0.008231768,1.929609725,-4.017531691,9.611372137,0.19203543,0.19404264,82.7457385,-0.24335869,-13.85,-1.39823889,-35,-0.26,6.670293311,2.673251387,0.002181112,0.024747718,0.005675943,0.002132243,0.005917322,-0.045182532,0.345657752,0.279965753
N0.3,N0,0,-0.021825662,2.344096196,-7.087208879,7.458259866,-0.63164711,0.50882984,44.8037335,-0.21408167,-15.05,-1.18515471,-33,-0.11,13.6099232,1.83610565,0.003500052,0.023153461,0.013580656,0.005508109,0.009300324,0.016425248,0.566892553,0.403539126
N0.4,N0,0,-0.039251826,1.415757253,-3.581314591,5.287824697,0.32661915,0.34408483,61.8654883,-0.20402232,-16.45,-1.40720107,-34,-0.15,8.569250408,2.003747395,0.002913112,0.046853581,0.012000899,0.005401398,0.008422968,0.030145753,0.499166255,0.340880888
N0.5,N0,0,-0.017818665,2.316093039,-4.186293646,3.568597394,0.06440997,-0.29545707,5.621931,-0.186736965,-11.35,-1.33578074,-31,-0.16,9.342611305,1.254681779,0.000959198,0.044891149,0.005322171,-0.000371663,0.009925901,-0.033806964,0.166794485,0.087042759
N2.1,N2,200,0.067939394,1.158446915,-20.16167483,6.05962193,-0.11113524,0.96068473,34.8454194,0.172717863,1.2,-1.64963261,-12,0.36,0.264787055,0.404349052,-0.000096507,0.008443176,-0.000338418,-0.006063183,-0.002556509,-0.072729417,-0.253569573,-0.106539183
N2.2,N2,200,0.076040768,1.651716694,-20.56367853,8.86804394,0.25516987,0.54491622,51.4107061,0.15013739,2.25,-1.6623088,-12,0.29,0.005743631,0.408823869,-0.000145332,0.00844644,-0.001336873,-0.00609257,-0.002666242,-0.056645129,-0.145438277,0.049914433
N2.3,N2,200,0.094838285,1.776432701,-21.98393477,6.13868082,0.34571409,0.24742172,36.4711365,0.145133707,0.9,-0.67046596,-11,0.21,-5.469757097,0.768687572,0.000710349,-0.003737442,0.006347569,-0.009453178,-0.013389249,-0.014634815,-0.171710255,0.130108798
N2.4,N2,200,0.060534769,1.190870768,-23.96669811,5.65050274,0.07475376,0.36115069,70.7901368,0.154907292,1.35,-0.87533996,-13,0.31,-2.191070296,0.569549099,0.001160996,0.020380489,0.003965881,-0.004912464,-0.008474539,-0.007625841,-0.045001479,0.176759708
N2.5,N2,200,0.08969664,1.903624277,-23.69265751,10.60586815,0.58318496,0.45545303,44.2478552,0.212685412,0.7,-0.7722086,-13,0.36,-5.323083587,-0.910677727,0.000919349,-0.02456144,0.000715244,-0.022865498,-0.022258555,-0.058568917,-0.50176578,-0.074387717
N4.1,N4,400,-0.029532766,1.715152548,-13.97812804,3.07859208,0.08404231,-0.62779301,10.9065314,0.073762658,-7.65,-1.38114309,-40,0.03,2.123698674,2.539354217,0.004975929,0.020033178,-0.001031457,0.005419444,0.000677868,-0.016770084,0.095627808,0.005224296
N4.2,N4,400,-0.000216371,2.529510797,-10.32646592,9.15384615,-0.28331962,-0.25830058,39.6518449,0.067975353,-6.65,-0.83935232,-40,-0.06,1.916928222,2.667689297,0.004202429,-0.001366975,0.004748556,0.004462602,0.000651742,-0.044386042,0.2518612,0.312625835
N4.3,N4,400,0.02232849,2.535607581,-6.78208584,4.85333333,0.13768292,-0.84002749,7.0578987,0.102713872,-8.15,-1.50310211,-37,-0.06,3.174911696,2.633549446,0.004653972,-0.001029965,0.011825963,-0.000706962,-0.002714018,0.000590521,0.233085395,0.192544952
N4.4,N4,400,0.03486752,1.682071291,-7.8193901,6.49158974,0.42357659,-0.05653938,38.9574263,0.139153178,-8.85,-0.87299659,-41,-0.05,2.429543574,1.728404621,0.00508803,-0.00998426,0.008871247,0.000488967,-0.002209861,0.008380994,0.271098034,0.310202526
N4.5,N4,400,-0.041950649,2.227157404,-6.49459698,9.5834188,-0.27407194,-1.00180666,-3.8841316,0.113723787,-8.85,-1.06919131,-40,0.04,4.022919137,1.337823036,0.005120987,-0.001723765,0.010629481,-0.00062543,0.001061418,0.002580242,0.226119334,0.195226282
N6.1,N6,600,-0.187360203,1.544144466,-11.98015354,6.18392857,-1.57724404,-0.78867862,34.7990176,-0.013900542,-2.85,-1.64486154,-14,0.38,-4.182555747,-1.245394975,0.003515731,0.012059804,-0.013254968,-0.009951587,-0.020709125,0.024550399,-0.432626462,-0.532806408
N6.2,N6,600,-0.054591155,1.405131751,-13.30011705,2.03652551,-0.02774382,-2.62968844,-11.7397089,0.064456635,0.25,-1.32276035,-15,0.4,-4.540249229,-1.119070787,0.003126108,-0.016142395,-0.007992678,-0.01031548,-0.022278886,0.045674863,-0.463528317,-0.541637696
N6.3,N6,600,-0.19682141,1.757807263,-14.06769553,2.6448473,-1.76076478,-0.85543966,-8.3621506,0.04334247,-1.35,-1.26216168,-16,0.35,-3.85663889,-1.00330477,0.003918437,-0.001867617,-0.011568239,-0.011862259,-0.020220964,0.040120416,-0.485857045,-0.603107976
N6.4,N6,600,-0.104500657,1.819100428,-9.07920677,3.0838423,-1.10369349,-2.32818303,-14.9584278,0.020755714,-3.15,-1.53341937,-16,0.36,-4.277802735,-1.088187507,0.003570379,-0.013807254,-0.008394444,-0.012159025,-0.02533145,0.057768918,-0.469024592,-0.629317472
N6.5,N6,600,0.007517779,0.401567705,-9.13092628,9.85390391,-0.14199519,-0.60848307,-25.9703642,0.050037454,-1.25,-1.44097979,-16,0.38,-5.370355885,-1.360055408,0.005612158,0.008151045,-0.013666968,-0.010486204,-0.03658869,0.059268897,-0.413697304,-0.326083902
